,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
770,2016,3,10002,10028,12,303,1,2800308,28,2,30,M,2007,2011,2,1,1,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEDBEEE,11100000.0,DBBEAAECBACADECEAABDDEBDADB,111191119001911019110101119,555,555,555,555,555,555,555,555,555,555,555,65.8,56.9,37.5,86.0,87.0,75.0,90.0,85.0,65.0,90.0,68.7,77.3,20.0,0.0,40.0,20.0,B,C,C,A,B,C,E,D,D,B,D,A,B,B,C,B,A,A,A,A,E,A,A,B,27.0,A,A,A,C,B,C,E,D,E,F,5.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,6.0,1.0,4.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0
806,2016,3,10002,10028,6,304,1,2800308,28,2,22,M,2011,2012,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,CAEBADAC,11110111.0,BDBBBCABECCECDCBCAEAAADDBAE,110990019111100101910111000,555,555,555,555,555,555,555,333,555,555,555,58.2,64.7,87.5,30.5,61.0,65.0,60.0,0.0,0.0,0.0,56.0,56.5,53.3,60.0,30.0,70.0,B,C,C,B,B,C,B,D,D,A,D,A,E,E,A,A,C,B,A,A,A,B,A,A,27.0,B,A,B,C,A,C,E,E,C,F,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,5.0,4.0,5.0,2.0,3.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0
845,2016,3,10002,10028,17,319,1,2806701,28,2,22,M,2011,2012,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,CBBDADBD,10000100.0,AEEDCCDBACDEBAAAADBCEDABDBE,101901008000800110101100100,555,555,555,555,555,555,555,555,555,555,555,40.6,37.4,25.0,56.0,58.0,50.0,60.0,54.0,70.0,50.0,41.6,37.5,65.0,75.0,40.0,80.0,D,C,C,B,B,D,B,D,B,A,B,A,D,D,E,A,A,A,A,A,B,F,A,A,27.0,A,B,B,C,A,C,B,E,E,G,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0
2584,2016,10,10008,10028,23,867,1,4106902,41,4,23,F,2010,2015,2,1,0,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CAEBADAE,11110110.0,CBCABEAEBDCCAEADDCCDCBDCAEE,011909111101191011091119001,555,555,555,555,555,555,555,555,555,555,555,71.4,79.6,75.0,86.5,87.0,75.0,90.0,86.0,70.0,90.0,68.7,68.2,71.7,90.0,50.0,75.0,C,C,B,B,B,C,D,D,D,A,D,A,E,E,B,B,E,B,A,B,A,A,A,A,27.0,B,A,C,D,A,E,B,E,H,F,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0
2798,2016,10,10008,10028,6,869,1,4106902,41,4,40,F,1995,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,CADBADAA,11010110.0,BDCBDADABBCECEEAAAEAEADDABC,111990109011111011911111111,555,555,555,555,555,555,555,555,555,555,555,73.1,64.3,62.5,67.0,79.0,75.0,80.0,55.0,75.0,50.0,76.0,82.6,38.3,60.0,15.0,40.0,.,.,.,.,.,.,.,.,.,C,D,A,B,B,C,B,B,B,A,C,F,B,A,C,27.0,D,B,B,G,B,C,E,A,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4738,2016,21,10008,10028,38,1887,1,4314902,43,4,25,F,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,CAECADCC,11100101.0,DDBEEBBABDAAEBDBAAAEDAECBEA,199181101810018110111811919,555,555,555,333,555,555,333,333,555,555,555,59.7,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1,78.9,0.0,0.0,0.0,0.0,.,.,.,.,.,.,.,.,.,A,B,A,D,C,D,A,A,C,A,C,A,A,A,A,27.0,A,A,B,C,B,C,B,E,H,F,6.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,2.0
5757,2016,32,10001,10028,12,2348,1,2704302,27,2,26,F,2007,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEDBDAE,11100110.0,DEBDDAECEDDABECDABBDEEEDADB,101091119011911119111111119,555,555,555,555,555,555,555,555,555,555,555,78.4,69.9,62.5,81.0,80.0,80.0,80.0,82.0,90.0,80.0,81.2,86.4,51.7,10.0,65.0,80.0,C,C,C,B,B,B,B,D,D,B,A,A,D,D,B,E,D,B,A,A,A,A,A,A,27.0,B,A,B,C,A,B,D,E,C,A,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,6.0,5.0,2.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,2.0
5759,2016,32,10001,10028,12,2348,1,2704302,27,2,25,F,2008,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CABBADAC,11010111.0,BBBEDAECACDABECDACBDEDEDADB,011191119111911119111011119,555,555,555,555,555,555,555,555,555,555,555,79.0,69.2,75.0,60.5,81.0,85.0,80.0,40.0,80.0,30.0,82.3,90.9,33.3,0.0,10.0,90.0,B,B,C,A,A,B,B,D,D,A,C,A,A,F,A,A,C,B,B,A,A,A,A,A,27.0,B,A,B,K,A,A,D,A,E,A,4.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,7.0,6.0,7.0,6.0,4.0,6.0,6.0,3.0,5.0,3.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,3.0
5760,2016,32,10001,10028,12,2348,1,2704302,27,2,34,M,2000,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEBBDAE,11110110.0,AEBDDAEEAACABECAACADDDCDADD,001091109001911019010001119,555,555,555,555,555,555,555,555,555,555,555,48.4,63.0,75.0,45.0,46.0,70.0,40.0,44.0,60.0,40.0,43.5,50.0,6.7,10.0,0.0,10.0,D,D,C,B,B,B,B,D,C,A,D,A,C,B,B,D,D,F,E,A,A,E,A,D,27.0,A,A,A,B,B,B,B,E,H,A,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5761,2016,32,10001,10028,12,2348,1,2704302,27,2,26,F,2010,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,DBEDADBE,100100.0,DBBECAECACDADECDDBBDEDEDADD,111191119111911109111011119,555,555,555,555,555,555,333,555,555,555,555,65.8,22.2,25.0,18.0,0.0,0.0,0.0,36.0,60.0,30.0,80.3,90.9,20.0,0.0,10.0,50.0,C,C,C,A,A,C,A,D,C,A,B,A,D,D,B,E,A,B,A,A,E,A,A,D,27.0,A,A,B,B,A,E,C,E,E,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,1.0,6.0,5.0,5.0
