,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
9385,2018,1504,10008,10020,88,1133888,1,2704302,27,2,57,F,1983,2016.0,4.0,0,0,8,0,0,0,27,1,4,0,CACBEBDE,CACBEBDE,DBEACECZCEDCADDCEABCDBBCBDC,DXEACECZXXDXADDCEABCDBBCBDC,BCEDDBEE,101.0,ADACCBBDBEDAADDAECBCDDBAACC,090010089919111010111010001,555,555,555,333,555,555,333,333,555,555,333,"38,3",15,25,0,0.0,0.0,0.0,0.0,0.0,0.0,46,50,"23,3",50.0,20.0,0.0,.,.,.,.,.,.,.,.,.,A,D,A,C,C,B,C,A,F,E,E,A,A,A,D,27.0,A,A,A,B,A,B,C,A,E,D,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
9386,2018,1504,10008,10020,88,1133888,1,2704302,27,2,41,M,1995,2017.0,4.0,0,0,8,0,0,0,27,1,4,0,CACBEBDE,CACBEBDE,DBEACECZCEDCADDCEABCDBBCBDC,DXEACECZXXDXADDCEABCDBBCBDC,EAABEBDD,1011110.0,CBDCAADCEADEDDAAADBCEBBDDDC,090000089919010000110110011,555,555,555,555,555,555,555,555,555,555,555,"36,6","40,9","62,5","8,5",6.0,30.0,0.0,11.0,55.0,0.0,"35,2","36,4","28,3",0.0,55.0,30.0,C,C,C,A,A,B,E,E,B,B,B,A,E,E,C,B,B,F,E,B,A,F,A,A,27.0,B,A,B,A,A,C,B,A,E,C,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
10503,2018,135,10008,10020,1,89302,2,3505906,35,3,32,M,2005,2015.0,3.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,CAADDBDA,11000110.0,CBDCAABEDB.CAECDCACCACABDCB,990900090001118000109090099,555,555,555,555,555,555,555,555,555,333,555,"29,3",51,50,"52,5",71.0,55.0,75.0,34.0,50.0,30.0,"22,1","22,2","21,7",15.0,0.0,50.0,C,D,A,D,B,B,B,C,D,B,D,A,B,C,C,B,D,E,E,B,A,A,A,A,27.0,A,A,C,B,B,B,B,E,C,,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,,5.0,5.0,3.0,6.0,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0
11231,2018,2835,10005,10020,2,66203,1,2611606,26,2,24,F,2010,2017.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CACBDBDE,11110111.0,AADADAEBBBEAABBDCAECCEEEBDC,090111010990099019009009100,555,555,555,555,555,555,555,555,555,555,555,"40,7","68,1","87,5",39,45.0,65.0,40.0,33.0,65.0,25.0,"31,6","31,6","31,7",25.0,20.0,50.0,C,C,C,D,C,C,B,D,C,A,D,A,B,D,D,B,B,B,A,E,A,A,A,A,27.0,A,A,G,A,A,A,C,E,H,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11522,2018,1504,10008,10020,2,103792,1,2704302,27,2,24,F,2012,2013.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,D,F,B,C,E,B,A,J,A,A,A,A,27.0,B,D,B,C,A,B,B,E,B,C,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0
11529,2018,1504,10008,10020,2,103792,1,2704302,27,2,32,F,2003,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CADADBCE,11000101.0,DADADBDACBACABEBAAEEACECBAE,090110100990099009019009101,555,555,555,555,555,555,333,555,555,333,555,"31,9","37,8",50,"19,5",0.0,0.0,0.0,39.0,55.0,35.0,"29,9","31,6",20,30.0,0.0,30.0,C,D,A,B,B,D,A,B,E,B,F,A,E,D,C,C,A,A,A,C,A,A,A,D,27.0,A,A,C,K,A,B,B,E,B,,4.0,,5.0,5.0,5.0,6.0,,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,,,,4.0,3.0,,4.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0
11530,2018,1504,10008,10020,2,103792,1,2704302,27,2,24,M,2013,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CAAAEBDD,11001110.0,BECADCDBCDEAEABBCDAEBACDCBE,090110110990199019119009001,555,555,555,555,555,555,555,555,555,555,555,"46,8","53,5","62,5",40,52.0,60.0,50.0,28.0,40.0,25.0,"44,5","47,4","28,3",50.0,5.0,30.0,C,C,C,A,A,D,A,A,C,A,D,A,E,E,B,E,B,B,A,G,A,A,A,A,27.0,B,A,B,C,A,B,B,E,H,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11531,2018,1504,10008,10020,2,103792,1,2704302,27,2,43,F,1994,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,ABAEDBBE,101.0,BBAADCDBEDEEDBECDDADBCBCCBA,091110111990099009109019000,555,555,555,555,555,555,555,555,555,555,555,"36,9","28,2",25,33,35.0,55.0,30.0,31.0,55.0,25.0,"39,8","42,1","26,7",40.0,25.0,15.0,C,C,C,C,C,C,C,C,C,B,D,A,B,B,C,C,B,B,A,E,A,A,A,A,27.0,E,A,C,A,B,B,D,E,A,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11532,2018,1504,10008,10020,2,103792,1,2704302,27,2,23,F,2013,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CACCEBDE,11101111.0,CDAADCCBDCDDECEBCBDEEABCBAA,191110010991199019019019100,555,555,555,555,555,555,555,555,555,555,555,"55,8","63,7","87,5",28,23.0,75.0,10.0,33.0,65.0,25.0,"53,2","57,9","26,7",30.0,30.0,20.0,B,C,C,A,A,A,A,D,D,A,A,A,E,D,B,E,E,B,A,B,A,A,A,A,27.0,B,A,B,A,A,E,E,E,C,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11533,2018,1504,10008,10020,2,103792,1,2704302,27,2,22,M,2013,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CAECEBDE,11001111.0,AEDADCCACAAAEBAECDADCCEECAC,090110000990199119109009000,555,555,555,555,555,555,555,555,555,555,555,"42,2",71,75,65,77.0,65.0,80.0,53.0,65.0,50.0,"32,6","31,6","38,3",30.0,60.0,25.0,B,D,B,A,B,B,B,D,D,A,D,A,D,E,B,C,C,C,A,E,A,A,A,A,27.0,B,A,B,D,A,C,C,E,H,,4.0,5.0,3.0,1.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,6.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,2.0,,2.0,2.0,3.0
