,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
211838,2015,571,10002,10028,2,49470,1,4106902,41,4,21,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,CCBBDDBD,1011100.0,AABADEDEBEBAABBCDACDEBCCEBD,111011119911011118900110101,555,555,555,555,555,555,555,555,555,555,555,69.5,54.0,50.0,60.0,59.0,55.0,60.0,61.0,65.0,60.0,74.6,73.9,78.3,100.0,75.0,60.0,B,C,C,D,C,C,C,C,C,A,A,A,E,E,A,B,G,C,C,A,A,A,A,A,41.0,B,A,B,G,A,C,D,E,B,F,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,2.0,3.0,3.0,6.0,3.0,2.0
429636,2015,671,10005,10028,86,107014,0,5002704,50,5,23,M,2010,2014,2,1,0,0,1,1,0,8,0,0,0,27,2,4,0,ACABDDCE,ACABDDCE,BAZDDDECDACBZCBDDBAEABEEBDE,BAZXDDECDACXZCBDDBXEABXEBDE,CEAADDCD,101110.0,ECABDDCADACCCEAEAEACBBDCBBE,008911001119800000900190101,555,555,555,555,555,333,555,555,333,333,333,36.8,50.0,50.0,50.0,39.0,75.0,30.0,61.0,65.0,60.0,32.4,38.1,0.0,0.0,0.0,0.0,C,D,C,B,B,C,B,B,B,B,C,A,D,E,C,B,A,B,A,B,A,A,A,A,23.0,A,A,B,A,A,B,B,E,E,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
367323,2015,521,10005,10028,1,97881,1,3530607,35,3,25,M,2007,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,ADCBDDCE,10011111.0,ADAACAECCBCBAEAECCEADEBEBBA,111010010090001090101000101,555,555,555,555,555,555,555,555,555,555,555,48.2,71.2,75.0,65.5,69.0,65.0,70.0,62.0,70.0,60.0,40.5,40.0,43.3,30.0,0.0,100.0,C,C,B,B,B,C,D,D,D,A,A,A,D,F,B,D,F,C,A,B,A,A,A,A,35.0,D,A,A,A,A,E,E,E,B,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
180156,2015,555,10008,10028,18,35443,1,2304400,23,2,54,F,1977,2010,2,0,1,0,1,1,0,8,0,0,0,27,1,5,0,ACABDDCE,ACABDDCE,DDAACDEBDCEAABDECCCDADEBZCE,XDAXCXEBXCEAABDXCCCDADEBZCE,AECAEDDD,10000100.0,ADAACCEBECCADEECCABCADDDCDD,911919119101000910001100800,555,555,555,555,555,555,555,555,555,555,555,48.4,49.4,25.0,86.0,95.0,75.0,100.0,77.0,65.0,80.0,48.0,47.6,50.0,35.0,65.0,50.0,C,C,A,A,B,C,C,D,D,B,C,A,B,B,C,D,F,C,A,B,A,A,A,A,26.0,A,C,C,G,A,B,B,E,H,F,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,4.0
520441,2015,587,10002,10028,100,1152250,0,2611606,26,2,28,M,2004,2011,2,1,0,0,1,1,0,8,0,0,0,27,0,5,0,ACABDDCE,ACABDDCE,EACDDEBCCCEDDECADDCABCBCBBC,EACDDEBXXXEDDECADDXABCBXBBC,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,D,E,B,F,C,E,E,A,A,A,A,A,26.0,B,A,B,F,A,C,E,D,E,F,5.0,5.0,4.0,4.0,4.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,8.0,5.0,5.0,5.0,5.0,5.0
499474,2015,13,10008,10028,26,1105331,1,4305108,43,4,25,M,2008,2010,2,0,0,1,1,1,0,8,0,0,0,27,0,7,0,ACABDDCE,ACABDDCE,CDBDCAEBBDBBDACAAADEDACDCEE,CDXXCAXBBXXBDACAXADEXACDCEE,ACEADBCE,11001011.0,CDECCABBDAABEACBBADEEBECDAE,119911910991011091119000001,555,555,555,555,555,555,555,555,555,555,555,57.5,63.3,62.5,64.5,71.0,75.0,70.0,58.0,50.0,60.0,55.5,60.0,30.0,60.0,0.0,30.0,C,D,C,B,A,D,B,D,C,A,A,A,D,D,D,C,D,C,E,B,A,A,F,A,43.0,B,A,B,C,B,C,B,E,A,I,4.0,6.0,4.0,6.0,5.0,2.0,2.0,5.0,6.0,4.0,1.0,5.0,4.0,6.0,6.0,5.0,5.0,3.0,3.0,8.0,6.0,4.0,3.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,3.0,6.0,3.0,1.0,2.0,2.0,5.0,6.0,6.0,5.0,1.0,7.0
107973,2015,780,10005,10028,22,16830,1,5103403,51,5,27,F,2005,2012,2,0,0,1,1,1,0,8,0,0,0,27,1,6,0,ACABDDCE,ACABDDCE,AEDABEEBCACEDDBECCCCDAECBAZ,AEDABEEXXACEDDBECXCXXXECBAZ,CACBDDAE,11101.0,CABEBCADBBDBDCBEDCCAEBDCBAE,000010099000101109199901118,555,555,555,555,555,555,555,555,555,555,555,41.2,61.2,50.0,78.0,79.0,75.0,80.0,77.0,65.0,80.0,34.5,40.0,3.3,10.0,0.0,0.0,C,E,C,B,B,D,A,A,D,A,B,A,B,F,A,A,B,D,E,C,A,A,A,B,51.0,A,A,B,C,A,A,B,E,A,I,6.0,6.0,6.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0
512134,2015,322,10008,10028,94,1132199,0,3550308,35,3,30,M,2001,2014,2,0,0,1,1,1,0,8,0,0,0,27,0,7,0,ACABDDCE,ACABDDCE,EEEABECCAAEAECBDDDADBCBCDAA,EEEAXECCXXEAEXBDDDADXXBXDAA,ADEADDBE,10001101.0,DAAADEBABECBCEDAECDDEDBEADA,000191009900090000019919001,555,555,555,555,555,555,555,555,555,555,333,33.0,56.2,50.0,65.5,57.0,45.0,60.0,74.0,50.0,80.0,25.3,25.0,26.7,60.0,20.0,0.0,D,D,C,D,D,D,B,A,E,A,C,A,B,B,A,G,B,E,E,B,A,A,A,A,13.0,A,A,A,A,B,B,B,E,E,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2813,2015,8,10002,10028,2,705,1,3171303,31,3,23,F,2009,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,DCABDDCE,1111111.0,AAEEEDDEAEBEDBECDBABBACBEED,110100119910110118901010101,555,555,555,555,555,555,555,555,555,555,555,63.4,80.9,87.5,71.0,79.0,75.0,80.0,63.0,75.0,60.0,57.5,60.9,38.3,60.0,45.0,10.0,D,D,B,B,B,C,A,D,D,A,A,A,F,E,D,A,E,C,A,A,A,A,A,A,31.0,B,A,B,C,A,B,C,A,H,I,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,7.0,7.0,5.0,4.0,5.0,5.0,5.0
49180,2015,374,10008,10020,2,7940,1,3550308,35,3,23,F,2010,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ABABDDCE,10111111.0,DBABDEEDDEBEEBBCDCECBBEDDDB,000011009910011118901100010,555,555,555,555,555,555,555,555,555,555,555,54.9,80.9,87.5,71.0,79.0,75.0,80.0,63.0,75.0,60.0,46.2,43.5,61.7,60.0,65.0,60.0,C,C,A,C,C,D,D,D,D,A,C,A,D,F,B,E,F,C,E,B,A,A,A,A,35.0,A,A,C,D,A,E,B,E,E,B,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
