,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
423572,2018,338,121,10028,2,7497,1,3106200,31,3,38,F,1999,2011.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75293,2018,4256,10005,10022,2,55998,1,3143302,31,3,23,F,2013,2014.0,1.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,DACDAACE,1100001.0,CAADDCDBCAEEAEBBCBBEBBBCCAC,191010110990099019019119000,555,555,555,555,555,555,555,555,555,555,555,"46,3","35,9","37,5","33,5",45.0,65.0,40.0,22.0,70.0,10.0,"49,8","47,4","63,3",50.0,50.0,90.0,D,C,C,B,B,B,E,D,C,A,D,A,D,E,B,F,D,B,A,B,A,A,A,A,31.0,E,A,B,C,A,C,C,E,E,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
24093,2018,1087,118,10022,38,109533,1,1100205,11,1,21,F,2014,2015.0,4.0,0,0,8,0,0,0,27,0,0,0,CACBEBDE,CACBEBDE,DBBCACAEDEBEBDDECCDCEADEBDD,DBBCACAEDEBEBDDECCDCEADEBDD,DADAEBBE,1001101.0,DBAAACABDECABDBBCCDAEADEBAD,110011101100110011101111101,555,555,555,555,555,555,555,555,555,555,555,"57,2","43,6",50,34,31.0,75.0,20.0,37.0,65.0,30.0,"61,7","66,7","33,3",50.0,10.0,40.0,C,C,C,B,B,C,A,D,D,A,D,A,E,E,B,D,C,A,A,C,A,A,A,A,11.0,A,A,B,C,A,B,E,E,H,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,6.0,4.0,,4.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0
359943,2018,664,10008,10028,18,49052,1,3205200,32,3,39,F,1997,2014.0,1.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,AAAEBB*E,1000101.0,BCEEDBABDCDBACAADAEABDECABC,911111911010100111100110901,555,555,555,555,555,555,555,555,555,555,555,"59,1","51,3","37,5",72,61.0,65.0,60.0,83.0,75.0,85.0,"61,7","66,7","33,3",60.0,0.0,40.0,D,C,C,B,A,B,E,E,D,B,A,A,B,D,C,C,F,B,A,B,A,A,A,A,32.0,A,B,C,A,A,B,C,E,E,,4.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,,6.0,4.0,5.0,4.0,4.0,5.0,5.0,,,,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
329610,2018,322,10005,10028,86,100324,2,3550308,35,3,25,F,2009,2017.0,2.0,0,0,8,0,0,0,27,0,7,0,CACBEBDE,CACBEBDE,EBBACDBADAEDEBECBABDCCBDBEC,XBXAXXXADAEDEXECBABDXCBDBEC,DBCEEBCD,101100.0,BEABCEBEDCDDEEECBACEADEDDEC,909099901001191111009001011,555,555,555,555,555,555,555,555,333,555,333,41,"32,7","37,5","25,5",32.0,40.0,30.0,19.0,55.0,10.0,"43,7",50,"8,3",0.0,25.0,0.0,D,C,C,B,B,B,E,D,C,A,D,A,C,E,B,D,B,E,D,B,A,A,A,A,23.0,A,B,G,A,A,B,A,E,E,D,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,,,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
71319,2018,609,115,10028,22,14718,1,4108304,41,4,25,M,2010,2012.0,4.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211053,2018,4863,10005,10022,1,117248,1,3151800,31,3,30,F,2014,2015.0,1.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485832,2018,374,118,10020,22,7938,1,3550308,35,3,30,M,2006,2015.0,4.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,CAAACADE,11000011.0,ABDDBBECCECAACEAEBDDEBEDDBD,990990011101090188991191090,555,555,555,333,555,555,333,333,555,333,333,"40,7",30,50,0,0.0,0.0,0.0,0.0,0.0,0.0,"44,3",50,"11,7",35.0,0.0,0.0,D,D,B,B,B,C,B,D,D,B,B,A,C,C,C,B,D,D,E,C,A,A,A,E,35.0,A,A,A,A,B,B,E,E,C,,4.0,5.0,5.0,4.0,4.0,,,,,,,4.0,3.0,,2.0,4.0,4.0,2.0,3.0,,2.0,,4.0,,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,,,3.0
156226,2018,216,10008,10020,103,97770,1,3106200,31,3,26,F,2011,2017.0,4.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,CAAEBCADEEEBECDCADEDBDDEBAB,CAAEBCADEXEBECDCAXEDBDDEBAX,EEBCDDEE,1.0,CAAABCCECCADCCACDBDDBEDBBDB,111011000900010109011010109,555,555,555,555,555,555,555,555,555,555,555,"36,3","18,7","12,5",28,37.0,65.0,30.0,19.0,55.0,10.0,"42,2","45,8","21,7",0.0,50.0,15.0,B,C,B,B,B,C,B,D,E,A,A,A,D,D,A,A,C,D,A,B,A,A,A,A,31.0,B,A,A,A,B,B,B,E,E,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,2.0,3.0,3.0,4.0,6.0,5.0,,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0
219460,2018,692,116,10022,22,15773,1,2611101,26,2,34,M,2002,2003.0,2.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
