,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,DCBBCDCE,1111000.0,AEAEDEEEBEDEDEDCADEDBEEEAAA,800001009900019019901000910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"32,9","58,8","50,0","72,0",93.0,65.0,100.0,51.0,75.0,45.0,"24,3","25,0","20,0",0.0,40.0,20.0,A,D,A,D,C,B,H,B,B,A,A,A,B,A,A,27.0,D,A,B,C,A,B,C,A,E,F,6.0,4.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,8.0,6.0,4.0,3.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,,,,,,,,,,,,,
1,CCBBCEAD,CCBBCEAD,DBBCBDCZBADABEEAAECDEDEAADD,DBBCBDCZBADABEXAXEXDEDEAADD,AABBECAD,110011.0,ECDDADDDDAAAEAEBAAECAECDABD,000001080101009090900000101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,"25,0","40,2","50,0","25,5",25.0,25.0,25.0,26.0,50.0,20.0,"19,9","21,7","10,0",30.0,0.0,0.0,A,A,A,A,B,C,C,A,D,C,A,A,A,A,D,27.0,B,C,B,A,B,A,E,E,A,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,A,I,A,C,A,D,B,A,A,A,A,A,A
2,CCBBCEAD,CCBBCEAD,BAAEEBDDBADECCCEDACDEEEAADD,BAAXXBDDXAXECCCEDACDEEEAADD,BCBBEEED,1110101.0,ADAADBEDDAABBDDBDAADEECAADD,001991019190000011011101111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"58,4","66,1","62,5","71,5",72.0,60.0,75.0,71.0,55.0,75.0,"55,8","56,5","51,7",40.0,30.0,85.0,A,B,A,B,B,F,H,A,B,A,H,A,F,A,A,27.0,A,A,E,F,A,C,C,E,H,F,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,1.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,B,J,I,I,A,B,D,A,E,B,C,B,B
3,CCBBCEAD,CCBBCEAD,EDCAEABCDBDDDCBCBBEADDCBEDB,EDXXEABCXBXDDCXCXBEADXCBEXB,DCBBCEBB,1111100.0,EDCBDABADAADDAEDABDACDCAACB,119901109091109091010910091,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,333.0,"49,6","64,3","62,5","67,0",79.0,75.0,80.0,55.0,75.0,50.0,"44,7","52,6","0,0",0.0,0.0,0.0,A,A,A,F,F,D,A,F,B,A,A,A,E,B,A,27.0,A,B,B,G,A,A,D,A,A,I,4.0,4.0,3.0,4.0,5.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,5.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,,,,,,,,,,,,,
4,CCBBCEAD,CCBBCEAD,ABDEBBEADCCDECCAAEBBCCAADAD,ABDEBBEXDXCDECCXXEBXCCAAXAD,ACABCEAE,1011110.0,ABDEBBEADBCDECBCAEBEACAABAD,111111191911110991190111911,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"79,2","72,7","62,5","88,0",80.0,80.0,80.0,96.0,80.0,100.0,"81,4","90,5","30,0",0.0,40.0,50.0,A,D,A,F,E,A,A,F,B,A,A,A,D,A,A,27.0,B,A,B,A,A,A,C,A,E,F,6.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,7.0,5.0,1.0,1.0,6.0,2.0,7.0,2.0,4.0,5.0,7.0,5.0,1.0,1.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,7.0,2.0,2.0,5.0,,,,,,,,,,,,,
5,CCBBCEAD,XCBBCEAD,EAADDACDEBBAACDDDBBCAEADCBB,EAADDAXDEBBAXXDDDBBCAEADCBX,EDABCEAD,90011111.0,EBADDADDAEADAADEEDBEECABDBE,101111910000991000100010019,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"53,9","68,4","71,4","64,0",61.0,65.0,60.0,67.0,55.0,70.0,"49,0","43,5","80,0",100.0,80.0,60.0,A,C,A,E,D,A,A,E,C,D,A,A,A,A,A,27.0,B,A,B,C,A,B,B,E,G,A,4.0,4.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,6.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,B,J,D,A,A,A,B,D,C,C,C,C,B
6,CCBBCEAD,CCBBCEAD,EDCAEABCDBDDDCBCBBEADDCBEDB,EDXXEABCXBXDDCXCXBEADXCBEXB,DACECECD,1101.0,EEDDDDECABADCCCCAEEBCBCDACD,109900019191019190100910090,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"38,4","43,3","37,5","52,0",37.0,65.0,30.0,67.0,55.0,70.0,"36,8","42,1","6,7",20.0,0.0,0.0,A,D,A,E,E,D,A,E,B,A,B,A,A,A,A,27.0,B,A,B,C,A,C,E,A,A,F,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,
7,CCBBCEAD,CCBBCEAD,EDCAEABCDBDDDCBCBBEADDCBEDB,EDXXEABCXBXDDCXCXBEADXCBEXB,BCBBCEDD,1111101.0,EDDEDABCACBDCCEEADEDDCCAAEE,119901119091019090101910090,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,"53,0","62,8","75,0","44,5",23.0,55.0,15.0,66.0,50.0,70.0,"49,7","52,6","33,3",100.0,0.0,0.0,A,A,A,F,D,B,B,F,B,A,B,A,A,A,A,27.0,B,A,B,C,A,B,C,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
8,CCBBCEAD,CCBBCEAD,EDCAEABCDBDDDCBCBBEADDCBEDB,EDXXEABCXBXDDCXCXBEADXCBEXB,CECCCCCC,10001000.0,ECCCCACCCBCDDEACABBBCACAECA,109901019191109191000910190,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,555.0,555.0,333.0,"40,3","15,0","25,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"48,7","52,6","26,7",80.0,0.0,0.0,A,A,A,F,F,A,A,G,C,E,B,A,A,A,A,27.0,B,A,A,C,A,E,C,E,E,F,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
9,CCBBCEAD,CCBBCEAD,EDCAEABCDBADCCACCBBEAEBEZDD,EDXAEABCXBADCCACCBXEAXBEZDD,CBBBCEBD,10111101.0,EDEEEADCEBADADADCDCECCCACEB,119011019111001010910900800,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"53,1","67,0","75,0","55,0",61.0,65.0,60.0,49.0,65.0,45.0,"48,5","50,0","40,0",0.0,20.0,100.0,A,A,A,E,E,A,A,F,C,A,B,A,A,F,A,27.0,B,A,B,C,A,C,C,E,H,F,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,,,,,,,,,,,,,
